000|001|100$a|100$b|100$c|100$d|245$a|245$b|245$c|245$d|260$a|260$b|260$c|260$d|336$a|336$0|336$2|337$a|337$2|338$a|338$2|651$a|651$0|655$a|655$0
"00998cam a2200289Mi 4500"|"ocm63806621\"|"Temple, William,"||"Chevalier,"|"1628-1699."|"Remarques sur l'estat des Provinces Unies des Pays-bas. :"|"Faites en l'an 1672. /"|"Par Monsieur le Chevalier Temple .."||"[S.l.] :"|"[s.n.],"|"1685."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01545cam a2200373Ka 4500"|"ocm09200381\"|||||"Response au discours presenté au roy sur la reunion des deux religions."||||"[France?] :"|"[publisher not identified],"|"1607."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|"France;France."|"http://id.loc.gov/authorities/subjects/sh85051175;http://id.worldcat.org/fast/01204289;http://id.loc.gov/authorities/names/n79006404-781"|"Church history."|"http://id.worldcat.org/fast/01411629"
"02129cam a2200361Mi 4500"|"ocm64780573\"|||||"Antwoorde op de valsche beschuldiginghen door een zeker ghesworen vijandt der Ghereformeerde religie, onder den titel ofte name van de Iustificatie van Leyden ... Midtsgaders de Verantwoordinghe van den dienaer, ouderlinghen en̄ diaconen der kercke tot Leyden, naer het wt-gheven van de Justificatie ghestelt .."||||"Tot Rotterdam, :"|"by Jan van Waesberghe ...,"|"1598."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01504cam a2200337Mi 4500"|"ocm68037902\"|"Gregorius"|"XIV,"|"paus,"|"1535-1591."|"Gregorii XIIII Papæ Litteræ monitoriales ad principes, duces, marchiones &c et archiepiscopos, episcopos aliosque ecclesiasticos regni Francorum, qui regis partes sequuntur, et ad eas Turonense senatusconsultum."||||"Francofvrti :"|"ex officina typographica Martini Lechleri,"|"1591."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"|||"Brieven (vorm)"|"(NL-LeOCL)088142167"
"02139cam a2200421Ia 4500"|"ocm68083351\"|"Selneccer, Nicolaus,"|||"1530-1592."|"Nicolai Selnecceri D. Superintendenten zu Leipzig, christliche kurtze Antwort auff die Lesterung und sacramentirische Schmehschrifft Lamberti Danaei, itzt Anno 1581 in Druck zu Genff gegeben :"|"etliche christliche Gebet wider die Schwermer, aus dem Psalter Davids."|||"Gedruckt zu Leipzig :"|"bey Georg Defner,"|"Anno 1581."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|||"Controversial literature.;Early works."|"http://id.worldcat.org/fast/01423907;http://id.worldcat.org/fast/01411636"
"01306cam a2200301Mi 4500"|"ocm63400201\"|"Telle, Reinier,"|||"1558/59-1618."|"Der Contraremonstranten kerf-stock, die nimmermeer yser wordt. :"|"Aen de Roomsche Catholijcken. : Op de wyse: Het was een fray rijck burghers kindt. /"|"Door een lief-hebber van de vrye waerheydt."||"[S.l. :"|"s.n.],"|"[1617]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01028cam a2200277Mi 4500"|"ocm65556064\"|"Essenius, Andreas,"|||"1618-1677."|"Defensio consilii theologici Ultrajectini de Canonicatilius, Vicariatibus /"||"..."||"Ultrajecti,"||"1658."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"01283cam a2200277Mi 4500"|"ocm65054231\"|||||"Declaration veritable de la bataille faicte à Ivry la Chanssee le 14. de mars, par victoire obtenue sa Majesté Henri quatrième, roy de France et de Navarre, sur ceux de la ligue :"|"ensemble les articles de la grace que sa Majesté a faictes aux Suisses du parti contraire."|||"[S.l.] :"|"[s.n.],"|"1590."||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"00990cam a2200289Mi 4500"|"ocm65558918\"|||||"Extract uyt een brief, geschreven uyt 's Gravenhage den 27. October 1688."||||"['s Gravenhage],"||"[1688]"||"tekst"||"rdacontent/dut"|"zonder medium"|"rdamedia/dut"|"band"|"rdacarrier/dut"||||
"02315cam a2200385 a 4500"|"ocm30357261\"|||||"Abschiedt der Röm. Keys. Maiest. vnd gemeyner Stend vff dem Reichsstag zů Augspurg vffgericht Anno Domini MDLI."||||"Gedruckt inn der chůrfürstlichen Stadt Meyntz :"|"Durch Iuonem Schöffer,"|"im[m] Iare 1551."||"text"|"http://id.loc.gov/vocabulary/contentTypes/txt"|"rdacontent"|"unmediated"|"rdamedia"|"volume"|"rdacarrier"|"Europe"|"http://id.worldcat.org/fast/01205344"||
